제목,레벨,정답률,완료한 사람,링크
조건에 부합하는 중고거래 상태 조회하기,2,81.0,16779,https://school.programmers.co.kr/learn/courses/30/lessons/164672
무작위로 K개의 수 뽑기,0,81.0,10263,https://school.programmers.co.kr/learn/courses/30/lessons/181858
수열과 구간 쿼리 2,0,81.0,17096,https://school.programmers.co.kr/learn/courses/30/lessons/181923
잡은 물고기의 평균 길이 구하기,1,81.0,7845,https://school.programmers.co.kr/learn/courses/30/lessons/293259
한 해에 잡은 물고기 수 구하기,1,81.0,7488,https://school.programmers.co.kr/learn/courses/30/lessons/298516
대장균의 크기에 따라 분류하기 1,3,81.0,6526,https://school.programmers.co.kr/learn/courses/30/lessons/299307
최댓값과 최솟값,2,80.0,51632,https://school.programmers.co.kr/learn/courses/30/lessons/12939
직사각형 별찍기,1,80.0,57859,https://school.programmers.co.kr/learn/courses/30/lessons/12969
최댓값 구하기,1,80.0,76076,https://school.programmers.co.kr/learn/courses/30/lessons/59415
[PCCE 기출문제] 2번 / 피타고라스의 정리,0,80.0,20535,https://school.programmers.co.kr/learn/courses/30/lessons/250132
[PCCE 기출문제] 4번 / 병과분류,0,80.0,7983,https://school.programmers.co.kr/learn/courses/30/lessons/340204
올바른 괄호,2,79.0,60002,https://school.programmers.co.kr/learn/courses/30/lessons/12909
최솟값 만들기,2,79.0,41203,https://school.programmers.co.kr/learn/courses/30/lessons/12941
JadenCase 문자열 만들기,2,79.0,39730,https://school.programmers.co.kr/learn/courses/30/lessons/12951
취소되지 않은 진료 예약 조회하기,4,79.0,10797,https://school.programmers.co.kr/learn/courses/30/lessons/132204
정사각형으로 만들기,0,79.0,9109,https://school.programmers.co.kr/learn/courses/30/lessons/181830
문자열 겹쳐쓰기,0,79.0,37988,https://school.programmers.co.kr/learn/courses/30/lessons/181943
a와 b 출력하기,0,79.0,63921,https://school.programmers.co.kr/learn/courses/30/lessons/181951
[PCCE 기출문제] 7번 / 가습기,0,79.0,10740,https://school.programmers.co.kr/learn/courses/30/lessons/250127
[PCCE 기출문제] 3번 / 나이 계산,0,79.0,17441,https://school.programmers.co.kr/learn/courses/30/lessons/250131
조건에 맞는 사원 정보 조회하기,2,79.0,5917,https://school.programmers.co.kr/learn/courses/30/lessons/284527
특정 물고기를 잡은 총 수 구하기,2,79.0,9013,https://school.programmers.co.kr/learn/courses/30/lessons/298518
자동차 대여 기록에서 대여중 / 대여 가능 여부 구분하기,3,79.0,14059,https://school.programmers.co.kr/learn/courses/30/lessons/157340
그림 확대,0,79.0,9232,https://school.programmers.co.kr/learn/courses/30/lessons/181836
같은 숫자는 싫어,1,78.0,77705,https://school.programmers.co.kr/learn/courses/30/lessons/12906
최대공약수와 최소공배수,1,78.0,45917,https://school.programmers.co.kr/learn/courses/30/lessons/12940
캐릭터의 좌표,0,78.0,16173,https://school.programmers.co.kr/learn/courses/30/lessons/120861
외계어 사전,0,78.0,16795,https://school.programmers.co.kr/learn/courses/30/lessons/120869
종이 자르기,0,78.0,19845,https://school.programmers.co.kr/learn/courses/30/lessons/120922
재구매가 일어난 상품과 회원 리스트 구하기,2,78.0,34248,https://school.programmers.co.kr/learn/courses/30/lessons/131536
전국 대회 선발 고사,0,78.0,10145,https://school.programmers.co.kr/learn/courses/30/lessons/181851
예산,1,77.0,45581,https://school.programmers.co.kr/learn/courses/30/lessons/12982
3진법 뒤집기,1,77.0,41701,https://school.programmers.co.kr/learn/courses/30/lessons/68935
이진 변환 반복하기,2,77.0,32282,https://school.programmers.co.kr/learn/courses/30/lessons/70129
직사각형 넓이 구하기,0,77.0,16270,https://school.programmers.co.kr/learn/courses/30/lessons/120860
로그인 성공?,0,77.0,17231,https://school.programmers.co.kr/learn/courses/30/lessons/120883
서울에 위치한 식당 목록 출력하기,4,77.0,21610,https://school.programmers.co.kr/learn/courses/30/lessons/131118
크기가 작은 부분 문자열,1,77.0,30238,https://school.programmers.co.kr/learn/courses/30/lessons/147355
자동차 대여 기록에서 장기/단기 대여 구분하기,1,77.0,17513,https://school.programmers.co.kr/learn/courses/30/lessons/151138
자동차 평균 대여 기간 구하기,2,77.0,15541,https://school.programmers.co.kr/learn/courses/30/lessons/157342
조회수가 가장 많은 중고거래 게시판의 첨부파일 조회하기,3,77.0,13004,https://school.programmers.co.kr/learn/courses/30/lessons/164671
대소문자 바꿔서 출력하기,0,77.0,49200,https://school.programmers.co.kr/learn/courses/30/lessons/181949
삼총사,1,77.0,27960,https://school.programmers.co.kr/learn/courses/30/lessons/131705
[PCCE 기출문제] 2번 / 각도 합치기,0,77.0,10397,https://school.programmers.co.kr/learn/courses/30/lessons/340206
숫자의 표현,2,76.0,32554,https://school.programmers.co.kr/learn/courses/30/lessons/12924
이상한 문자 만들기,1,76.0,48621,https://school.programmers.co.kr/learn/courses/30/lessons/12930
등수 매기기,0,76.0,14209,https://school.programmers.co.kr/learn/courses/30/lessons/120882
치킨 쿠폰,0,76.0,15483,https://school.programmers.co.kr/learn/courses/30/lessons/120884
[PCCE 기출문제] 5번 / 심폐소생술,0,76.0,6538,https://school.programmers.co.kr/learn/courses/30/lessons/340203
다음 큰 숫자,2,75.0,32560,https://school.programmers.co.kr/learn/courses/30/lessons/12911
최소직사각형,1,75.0,51419,https://school.programmers.co.kr/learn/courses/30/lessons/86491
저주의 숫자 3,0,75.0,15533,https://school.programmers.co.kr/learn/courses/30/lessons/120871
"년, 월, 성별 별 상품 구매 회원 수 구하기",4,75.0,14885,https://school.programmers.co.kr/learn/courses/30/lessons/131532
저자 별 카테고리 별 매출액 집계하기,4,75.0,14171,https://school.programmers.co.kr/learn/courses/30/lessons/144856
[PCCE 기출문제] 8번 / 닉네임 규칙,0,75.0,4815,https://school.programmers.co.kr/learn/courses/30/lessons/340200
피보나치 수,2,74.0,41489,https://school.programmers.co.kr/learn/courses/30/lessons/12945
짝지어 제거하기,2,74.0,33444,https://school.programmers.co.kr/learn/courses/30/lessons/12973
헤비 유저가 소유한 장소,3,74.0,17287,https://school.programmers.co.kr/learn/courses/30/lessons/77487
유한소수 판별하기,0,74.0,12676,https://school.programmers.co.kr/learn/courses/30/lessons/120878
문자열 밀기,0,74.0,16831,https://school.programmers.co.kr/learn/courses/30/lessons/120921
배열 만들기 2,0,74.0,16514,https://school.programmers.co.kr/learn/courses/30/lessons/181921
[PCCE 기출문제] 6번 / 가채점,0,74.0,10980,https://school.programmers.co.kr/learn/courses/30/lessons/250128
특정 조건을 만족하는 물고기별 수와 최대 길이 구하기,3,74.0,4905,https://school.programmers.co.kr/learn/courses/30/lessons/298519
시저 암호,1,73.0,44009,https://school.programmers.co.kr/learn/courses/30/lessons/12926
카펫,2,73.0,53523,https://school.programmers.co.kr/learn/courses/30/lessons/42842
우유와 요거트가 담긴 장바구니,4,73.0,17391,https://school.programmers.co.kr/learn/courses/30/lessons/62284
특이한 정렬,0,73.0,13452,https://school.programmers.co.kr/learn/courses/30/lessons/120880
주문량이 많은 아이스크림들 조회하기,4,73.0,17567,https://school.programmers.co.kr/learn/courses/30/lessons/133027
가장 가까운 같은 글자,1,73.0,26350,https://school.programmers.co.kr/learn/courses/30/lessons/142086
대여 횟수가 많은 자동차들의 월별 대여 횟수 구하기,3,73.0,13567,https://school.programmers.co.kr/learn/courses/30/lessons/151139
코드 처리하기,0,73.0,23245,https://school.programmers.co.kr/learn/courses/30/lessons/181932
가장 큰 물고기 10마리 구하기,1,73.0,10852,https://school.programmers.co.kr/learn/courses/30/lessons/298517
K번째수,1,72.0,100941,https://school.programmers.co.kr/learn/courses/30/lessons/42748
두 개 뽑아서 더하기,1,72.0,54448,https://school.programmers.co.kr/learn/courses/30/lessons/68644
숫자 문자열과 영단어,1,72.0,54333,https://school.programmers.co.kr/learn/courses/30/lessons/81301
푸드 파이트 대회,1,72.0,24943,https://school.programmers.co.kr/learn/courses/30/lessons/134240
배열 조각하기,0,72.0,12528,https://school.programmers.co.kr/learn/courses/30/lessons/181893
노선별 평균 역 사이 거리 조회하기,2,72.0,6108,https://school.programmers.co.kr/learn/courses/30/lessons/284531
[PCCE 기출문제] 3번 / 수 나누기,0,72.0,7952,https://school.programmers.co.kr/learn/courses/30/lessons/340205
[PCCE 기출문제] 1번 / 문자 출력,0,72.0,15084,https://school.programmers.co.kr/learn/courses/30/lessons/340207
다항식 더하기,0,72.0,13607,https://school.programmers.co.kr/learn/courses/30/lessons/120863
문자열 내 마음대로 정렬하기,1,71.0,44055,https://school.programmers.co.kr/learn/courses/30/lessons/12915
점프와 순간 이동,2,71.0,23579,https://school.programmers.co.kr/learn/courses/30/lessons/12980
구명보트,2,71.0,38751,https://school.programmers.co.kr/learn/courses/30/lessons/42885
콜라 문제,1,71.0,23739,https://school.programmers.co.kr/learn/courses/30/lessons/132267
귤 고르기,2,71.0,20259,https://school.programmers.co.kr/learn/courses/30/lessons/138476
명예의 전당 (1),1,71.0,21182,https://school.programmers.co.kr/learn/courses/30/lessons/138477
문자열 출력하기,0,71.0,72751,https://school.programmers.co.kr/learn/courses/30/lessons/181952
[PCCE 기출문제] 1번 / 출력,0,71.0,26079,https://school.programmers.co.kr/learn/courses/30/lessons/250133
업그레이드 할 수 없는 아이템 구하기,3,71.0,5590,https://school.programmers.co.kr/learn/courses/30/lessons/273712
연간 평가점수에 해당하는 평가 등급 및 성과금 조회하기,4,71.0,3769,https://school.programmers.co.kr/learn/courses/30/lessons/284528
대장균들의 자식의 수 구하기,3,71.0,6304,https://school.programmers.co.kr/learn/courses/30/lessons/299305
멀리 뛰기,2,70.0,24243,https://school.programmers.co.kr/learn/courses/30/lessons/12914
N개의 최소공배수,2,70.0,27809,https://school.programmers.co.kr/learn/courses/30/lessons/12953
영어 끝말잇기,2,70.0,30409,https://school.programmers.co.kr/learn/courses/30/lessons/12981
예상 대진표,2,70.0,25363,https://school.programmers.co.kr/learn/courses/30/lessons/12985
[1차] 비밀지도,1,70.0,40332,https://school.programmers.co.kr/learn/courses/30/lessons/17681
최빈값 구하기,0,70.0,26808,https://school.programmers.co.kr/learn/courses/30/lessons/120812
카드 뭉치,1,70.0,22927,https://school.programmers.co.kr/learn/courses/30/lessons/159994
추억 점수,1,70.0,29632,https://school.programmers.co.kr/learn/courses/30/lessons/176963
그룹별 조건에 맞는 식당 목록 출력하기,4,70.0,14586,https://school.programmers.co.kr/learn/courses/30/lessons/131124
OX퀴즈,0,69.0,17951,https://school.programmers.co.kr/learn/courses/30/lessons/120907
연속 부분 수열 합의 개수,2,69.0,14238,https://school.programmers.co.kr/learn/courses/30/lessons/131701
물고기 종류 별 대어 찾기,3,69.0,7474,https://school.programmers.co.kr/learn/courses/30/lessons/293261
조건에 부합하는 중고거래 댓글 조회하기,1,69.0,28039,https://school.programmers.co.kr/learn/courses/30/lessons/164673
분기별 분화된 대장균의 개체 수 구하기,2,69.0,4587,https://school.programmers.co.kr/learn/courses/30/lessons/299308
괄호 회전하기,2,68.0,21952,https://school.programmers.co.kr/learn/courses/30/lessons/76502
할인 행사,2,68.0,15511,https://school.programmers.co.kr/learn/courses/30/lessons/131127
n^2 배열 자르기,2,67.0,16288,https://school.programmers.co.kr/learn/courses/30/lessons/87390
폰켓몬,1,66.0,61346,https://school.programmers.co.kr/learn/courses/30/lessons/1845
2016년,1,66.0,51476,https://school.programmers.co.kr/learn/courses/30/lessons/12901
의상,2,66.0,62744,https://school.programmers.co.kr/learn/courses/30/lessons/42578
기능개발,2,66.0,69380,https://school.programmers.co.kr/learn/courses/30/lessons/42586
H-Index,2,66.0,51602,https://school.programmers.co.kr/learn/courses/30/lessons/42747
피로도,2,66.0,26092,https://school.programmers.co.kr/learn/courses/30/lessons/87946
다음에 올 숫자,0,66.0,20913,https://school.programmers.co.kr/learn/courses/30/lessons/120924
오프라인/온라인 판매 데이터 통합하기,4,66.0,21473,https://school.programmers.co.kr/learn/courses/30/lessons/131537
기사단원의 무기,1,66.0,19178,https://school.programmers.co.kr/learn/courses/30/lessons/136798
행렬의 곱셈,2,66.0,23412,https://school.programmers.co.kr/learn/courses/30/lessons/12949
[1차] 캐시,2,65.0,22101,https://school.programmers.co.kr/learn/courses/30/lessons/17680
모의고사,1,65.0,80670,https://school.programmers.co.kr/learn/courses/30/lessons/42840
튜플,2,65.0,25060,https://school.programmers.co.kr/learn/courses/30/lessons/64065
연속된 수의 합,0,65.0,18461,https://school.programmers.co.kr/learn/courses/30/lessons/120923
[PCCE 기출문제] 8번 / 창고 정리,0,65.0,9228,https://school.programmers.co.kr/learn/courses/30/lessons/250126
업그레이드 된 아이템 구하기,2,65.0,7390,https://school.programmers.co.kr/learn/courses/30/lessons/273711
전화번호 목록,2,64.0,68348,https://school.programmers.co.kr/learn/courses/30/lessons/42577
프로세스,2,64.0,55260,https://school.programmers.co.kr/learn/courses/30/lessons/42587
롤케이크 자르기,2,64.0,10763,https://school.programmers.co.kr/learn/courses/30/lessons/132265
과일 장수,1,64.0,23498,https://school.programmers.co.kr/learn/courses/30/lessons/135808
덧칠하기,1,64.0,19132,https://school.programmers.co.kr/learn/courses/30/lessons/161989
[PCCE 기출문제] 6번 / 물 부족,0,64.0,4857,https://school.programmers.co.kr/learn/courses/30/lessons/340202
게임 맵 최단거리,2,63.0,32921,https://school.programmers.co.kr/learn/courses/30/lessons/1844
소수 찾기,1,63.0,36009,https://school.programmers.co.kr/learn/courses/30/lessons/12921
소수 만들기,1,63.0,40332,https://school.programmers.co.kr/learn/courses/30/lessons/12977
[1차] 뉴스 클러스터링,2,63.0,21018,https://school.programmers.co.kr/learn/courses/30/lessons/17677
타겟 넘버,2,63.0,62097,https://school.programmers.co.kr/learn/courses/30/lessons/43165
옹알이 (2),1,63.0,15207,https://school.programmers.co.kr/learn/courses/30/lessons/133499
[3차] n진수 게임,2,62.0,14723,https://school.programmers.co.kr/learn/courses/30/lessons/17687
실패율,1,62.0,39258,https://school.programmers.co.kr/learn/courses/30/lessons/42889
정수 삼각형,3,62.0,30889,https://school.programmers.co.kr/learn/courses/30/lessons/43105
네트워크,3,62.0,44520,https://school.programmers.co.kr/learn/courses/30/lessons/43162
방문 길이,2,62.0,15968,https://school.programmers.co.kr/learn/courses/30/lessons/49994
모음사전,2,62.0,22296,https://school.programmers.co.kr/learn/courses/30/lessons/84512
k진수에서 소수 개수 구하기,2,62.0,17180,https://school.programmers.co.kr/learn/courses/30/lessons/92335
분수의 덧셈,0,62.0,34892,https://school.programmers.co.kr/learn/courses/30/lessons/120808
안전지대,0,62.0,15159,https://school.programmers.co.kr/learn/courses/30/lessons/120866
뒤에 있는 큰 수 찾기,2,62.0,12923,https://school.programmers.co.kr/learn/courses/30/lessons/154539
[PCCE 기출문제] 9번 / 지폐 접기,1,62.0,6033,https://school.programmers.co.kr/learn/courses/30/lessons/340199
야근 지수,3,61.0,13065,https://school.programmers.co.kr/learn/courses/30/lessons/12927
[3차] 압축,2,61.0,14334,https://school.programmers.co.kr/learn/courses/30/lessons/17684
주식가격,2,61.0,47428,https://school.programmers.co.kr/learn/courses/30/lessons/42584
더 맵게,2,61.0,45746,https://school.programmers.co.kr/learn/courses/30/lessons/42626
이중우선순위큐,3,61.0,27530,https://school.programmers.co.kr/learn/courses/30/lessons/42628
단어 변환,3,61.0,33788,https://school.programmers.co.kr/learn/courses/30/lessons/43163
입양 시각 구하기(2),4,61.0,33787,https://school.programmers.co.kr/learn/courses/30/lessons/59413
주사위 게임 3,0,61.0,14474,https://school.programmers.co.kr/learn/courses/30/lessons/181916
땅따먹기,2,61.0,16629,https://school.programmers.co.kr/learn/courses/30/lessons/12913
[1차] 다트 게임,1,60.0,29918,https://school.programmers.co.kr/learn/courses/30/lessons/17682
스킬트리,2,60.0,25761,https://school.programmers.co.kr/learn/courses/30/lessons/49993
주차 요금 계산,2,60.0,18680,https://school.programmers.co.kr/learn/courses/30/lessons/92341
겹치는 선분의 길이,0,60.0,12836,https://school.programmers.co.kr/learn/courses/30/lessons/120876
택배상자,2,60.0,8803,https://school.programmers.co.kr/learn/courses/30/lessons/131704
[PCCE 기출문제] 7번 / 버스,0,60.0,4214,https://school.programmers.co.kr/learn/courses/30/lessons/340201
등굣길,3,60.0,20381,https://school.programmers.co.kr/learn/courses/30/lessons/42898
로또의 최고 순위와 최저 순위,1,59.0,47524,https://school.programmers.co.kr/learn/courses/30/lessons/77484
문자열 나누기,1,59.0,18612,https://school.programmers.co.kr/learn/courses/30/lessons/140108
숫자 변환하기,2,59.0,10253,https://school.programmers.co.kr/learn/courses/30/lessons/154538
둘만의 암호,1,59.0,17258,https://school.programmers.co.kr/learn/courses/30/lessons/155652
대충 만든 자판,1,59.0,15845,https://school.programmers.co.kr/learn/courses/30/lessons/160586
[PCCE 기출문제] 9번 / 이웃한 칸,1,59.0,9299,https://school.programmers.co.kr/learn/courses/30/lessons/250125
특정 세대의 대장균 찾기,4,59.0,4237,https://school.programmers.co.kr/learn/courses/30/lessons/301650
2 x n 타일링,2,58.0,15195,https://school.programmers.co.kr/learn/courses/30/lessons/12900
최고의 집합,3,58.0,12669,https://school.programmers.co.kr/learn/courses/30/lessons/12938
숫자 게임,3,58.0,9830,https://school.programmers.co.kr/learn/courses/30/lessons/12987
[3차] 파일명 정렬,2,58.0,13560,https://school.programmers.co.kr/learn/courses/30/lessons/17686
완주하지 못한 선수,1,58.0,102101,https://school.programmers.co.kr/learn/courses/30/lessons/42576
오픈채팅방,2,58.0,35195,https://school.programmers.co.kr/learn/courses/30/lessons/42888
체육복,1,58.0,60055,https://school.programmers.co.kr/learn/courses/30/lessons/42862
[1차] 프렌즈4블록,2,57.0,13237,https://school.programmers.co.kr/learn/courses/30/lessons/17679
단속카메라,3,57.0,16772,https://school.programmers.co.kr/learn/courses/30/lessons/42884
대장균의 크기에 따라 분류하기 2,3,57.0,4724,https://school.programmers.co.kr/learn/courses/30/lessons/301649
연도별 대장균 크기의 편차 구하기,2,57.0,5996,https://school.programmers.co.kr/learn/courses/30/lessons/299310
기지국 설치,3,56.0,8041,https://school.programmers.co.kr/learn/courses/30/lessons/12979
2개 이하로 다른 비트,2,56.0,8923,https://school.programmers.co.kr/learn/courses/30/lessons/77885
햄버거 만들기,1,56.0,17357,https://school.programmers.co.kr/learn/courses/30/lessons/133502
조건에 맞는 개발자 찾기,2,56.0,6449,https://school.programmers.co.kr/learn/courses/30/lessons/276034
숫자 짝꿍,1,56.0,16505,https://school.programmers.co.kr/learn/courses/30/lessons/131128
베스트앨범,3,55.0,40043,https://school.programmers.co.kr/learn/courses/30/lessons/42579
가장 큰 수,2,55.0,53969,https://school.programmers.co.kr/learn/courses/30/lessons/42746
소수 찾기,2,55.0,41899,https://school.programmers.co.kr/learn/courses/30/lessons/42839
쿼드압축 후 개수 세기,2,55.0,10878,https://school.programmers.co.kr/learn/courses/30/lessons/68936
두 큐 합 같게 만들기,2,55.0,14286,https://school.programmers.co.kr/learn/courses/30/lessons/118667
다리를 지나는 트럭,2,54.0,42603,https://school.programmers.co.kr/learn/courses/30/lessons/42583
큰 수 만들기,2,54.0,30341,https://school.programmers.co.kr/learn/courses/30/lessons/42883
삼각 달팽이,2,54.0,14871,https://school.programmers.co.kr/learn/courses/30/lessons/68645
[PCCE 기출문제] 10번 / 데이터 분석,1,54.0,8016,https://school.programmers.co.kr/learn/courses/30/lessons/250121
연속된 부분 수열의 합,2,54.0,12119,https://school.programmers.co.kr/learn/courses/30/lessons/178870
스티커 모으기(2),3,53.0,5222,https://school.programmers.co.kr/learn/courses/30/lessons/12971
크레인 인형뽑기 게임,1,53.0,45295,https://school.programmers.co.kr/learn/courses/30/lessons/64061
키패드 누르기,1,53.0,36189,https://school.programmers.co.kr/learn/courses/30/lessons/67256
성격 유형 검사하기,1,53.0,23781,https://school.programmers.co.kr/learn/courses/30/lessons/118666
평행,0,53.0,14523,https://school.programmers.co.kr/learn/courses/30/lessons/120875
마법의 엘리베이터,2,53.0,8208,https://school.programmers.co.kr/learn/courses/30/lessons/148653
시소 짝꿍,2,53.0,6872,https://school.programmers.co.kr/learn/courses/30/lessons/152996
서버 증설 횟수,2,53.0,1744,https://school.programmers.co.kr/learn/courses/30/lessons/389479
전력망을 둘로 나누기,2,53.0,17381,https://school.programmers.co.kr/learn/courses/30/lessons/86971
숫자 카드 나누기,2,52.0,6199,https://school.programmers.co.kr/learn/courses/30/lessons/135807
호텔 대실,2,52.0,9535,https://school.programmers.co.kr/learn/courses/30/lessons/155651
124 나라의 숫자,2,51.0,26418,https://school.programmers.co.kr/learn/courses/30/lessons/12899
배달,2,51.0,11542,https://school.programmers.co.kr/learn/courses/30/lessons/12978
불량 사용자,3,51.0,10981,https://school.programmers.co.kr/learn/courses/30/lessons/64064
보석 쇼핑,3,51.0,10468,https://school.programmers.co.kr/learn/courses/30/lessons/67258
신규 아이디 추천,1,51.0,42870,https://school.programmers.co.kr/learn/courses/30/lessons/72410
메뉴 리뉴얼,2,51.0,17561,https://school.programmers.co.kr/learn/courses/30/lessons/72411
미로 탈출,2,51.0,8908,https://school.programmers.co.kr/learn/courses/30/lessons/159993
바탕화면 정리,1,51.0,18289,https://school.programmers.co.kr/learn/courses/30/lessons/161990
자동차 대여 기록 별 대여 금액 구하기,4,50.0,6844,https://school.programmers.co.kr/learn/courses/30/lessons/151141
FrontEnd 개발자 찾기,4,50.0,3641,https://school.programmers.co.kr/learn/courses/30/lessons/276035
[3차] 방금그곡,2,49.0,10335,https://school.programmers.co.kr/learn/courses/30/lessons/17683
가장 먼 노드,3,49.0,23606,https://school.programmers.co.kr/learn/courses/30/lessons/49189
징검다리 건너기,3,49.0,8811,https://school.programmers.co.kr/learn/courses/30/lessons/64062
무인도 여행,2,49.0,10306,https://school.programmers.co.kr/learn/courses/30/lessons/154540
리코쳇 로봇,2,49.0,7054,https://school.programmers.co.kr/learn/courses/30/lessons/169199
줄 서는 방법,2,48.0,7594,https://school.programmers.co.kr/learn/courses/30/lessons/12936
섬 연결하기,3,48.0,15952,https://school.programmers.co.kr/learn/courses/30/lessons/42861
여행경로,3,48.0,23802,https://school.programmers.co.kr/learn/courses/30/lessons/43164
괄호 변환,2,48.0,20145,https://school.programmers.co.kr/learn/courses/30/lessons/60058
수식 최대화,2,48.0,14215,https://school.programmers.co.kr/learn/courses/30/lessons/67257
행렬 테두리 회전하기,2,48.0,13524,https://school.programmers.co.kr/learn/courses/30/lessons/77485
디펜스 게임,2,48.0,6410,https://school.programmers.co.kr/learn/courses/30/lessons/142085
테이블 해시 함수,2,48.0,5452,https://school.programmers.co.kr/learn/courses/30/lessons/147354
개인정보 수집 유효기간,1,48.0,21676,https://school.programmers.co.kr/learn/courses/30/lessons/150370
특정 기간동안 대여 가능한 자동차들의 대여비용 구하기,4,48.0,10142,https://school.programmers.co.kr/learn/courses/30/lessons/157339
가장 큰 정사각형 찾기,2,47.0,10995,https://school.programmers.co.kr/learn/courses/30/lessons/12905
거리두기 확인하기,2,47.0,14791,https://school.programmers.co.kr/learn/courses/30/lessons/81302
부대복귀,3,47.0,4124,https://school.programmers.co.kr/learn/courses/30/lessons/132266
연속 펄스 부분 수열의 합,3,47.0,4610,https://school.programmers.co.kr/learn/courses/30/lessons/161988
달리기 경주,1,47.0,23988,https://school.programmers.co.kr/learn/courses/30/lessons/178871
정수를 나선형으로 배치하기,0,47.0,10257,https://school.programmers.co.kr/learn/courses/30/lessons/181832
부모의 형질을 모두 가지는 대장균 찾기,2,47.0,5167,https://school.programmers.co.kr/learn/courses/30/lessons/301647
하노이의 탑,2,46.0,11091,https://school.programmers.co.kr/learn/courses/30/lessons/12946
입국심사,3,46.0,22993,https://school.programmers.co.kr/learn/courses/30/lessons/43238
경주로 건설,3,46.0,7206,https://school.programmers.co.kr/learn/courses/30/lessons/67259
공원 산책,1,46.0,16417,https://school.programmers.co.kr/learn/courses/30/lessons/172928
유연근무제,1,46.0,2205,https://school.programmers.co.kr/learn/courses/30/lessons/388351
상품을 구매한 회원 비율 구하기,5,45.0,10765,https://school.programmers.co.kr/learn/courses/30/lessons/131534
우박수열 정적분,2,45.0,4015,https://school.programmers.co.kr/learn/courses/30/lessons/134239
가장 긴 팰린드롬,3,45.0,8672,https://school.programmers.co.kr/learn/courses/30/lessons/12904
디스크 컨트롤러,3,45.0,21816,https://school.programmers.co.kr/learn/courses/30/lessons/42627
[1차] 셔틀버스,3,44.0,7531,https://school.programmers.co.kr/learn/courses/30/lessons/17678
문자열 압축,2,44.0,31573,https://school.programmers.co.kr/learn/courses/30/lessons/60057
멀쩡한 사각형,2,44.0,18996,https://school.programmers.co.kr/learn/courses/30/lessons/62048
다단계 칫솔 판매,3,44.0,8176,https://school.programmers.co.kr/learn/courses/30/lessons/77486
광물 캐기,2,44.0,7662,https://school.programmers.co.kr/learn/courses/30/lessons/172927
거스름돈,3,43.0,5816,https://school.programmers.co.kr/learn/courses/30/lessons/12907
풍선 터트리기,3,43.0,5195,https://school.programmers.co.kr/learn/courses/30/lessons/68646
순위,3,42.0,13001,https://school.programmers.co.kr/learn/courses/30/lessons/49191
파괴되지 않은 건물,3,42.0,5773,https://school.programmers.co.kr/learn/courses/30/lessons/92344
점 찍기,2,42.0,7330,https://school.programmers.co.kr/learn/courses/30/lessons/140107
인사고과,3,42.0,4109,https://school.programmers.co.kr/learn/courses/30/lessons/152995
특정 형질을 가지는 대장균 찾기,1,42.0,7544,https://school.programmers.co.kr/learn/courses/30/lessons/301646
[PCCP 기출문제] 2번 / 퍼즐 게임 챌린지,2,42.0,5351,https://school.programmers.co.kr/learn/courses/30/lessons/340212
후보키,2,42.0,10573,https://school.programmers.co.kr/learn/courses/30/lessons/42890
자물쇠와 열쇠,3,41.0,11140,https://school.programmers.co.kr/learn/courses/30/lessons/60059
합승 택시 요금,3,41.0,10252,https://school.programmers.co.kr/learn/courses/30/lessons/72413
이모티콘 할인행사,2,41.0,8214,https://school.programmers.co.kr/learn/courses/30/lessons/150368
과제 진행하기,2,41.0,7105,https://school.programmers.co.kr/learn/courses/30/lessons/176962
[PCCP 기출문제] 1번 / 붕대 감기,1,41.0,12926,https://school.programmers.co.kr/learn/courses/30/lessons/250137
[PCCE 기출문제] 10번 / 공원,1,41.0,3032,https://school.programmers.co.kr/learn/courses/30/lessons/340198
N-Queen,2,40.0,7506,https://school.programmers.co.kr/learn/courses/30/lessons/12952
신고 결과 받기,1,40.0,36344,https://school.programmers.co.kr/learn/courses/30/lessons/92334
두 원 사이의 정수 쌍,2,40.0,6908,https://school.programmers.co.kr/learn/courses/30/lessons/181187
혼자서 하는 틱택토,2,40.0,5216,https://school.programmers.co.kr/learn/courses/30/lessons/160585
요격 시스템,2,40.0,11351,https://school.programmers.co.kr/learn/courses/30/lessons/181188
도둑질,4,39.0,8733,https://school.programmers.co.kr/learn/courses/30/lessons/42897
표 편집,3,39.0,5865,https://school.programmers.co.kr/learn/courses/30/lessons/81303
언어별 개발자 분류하기,4,39.0,2372,https://school.programmers.co.kr/learn/courses/30/lessons/276036
[PCCP 기출문제] 2번 / 석유 시추,2,39.0,6276,https://school.programmers.co.kr/learn/courses/30/lessons/250136
지게차와 크레인,2,39.0,894,https://school.programmers.co.kr/learn/courses/30/lessons/388353
숫자 블록,2,38.0,3617,https://school.programmers.co.kr/learn/courses/30/lessons/12923
길 찾기 게임,3,38.0,7753,https://school.programmers.co.kr/learn/courses/30/lessons/42892
양과 늑대,3,38.0,6352,https://school.programmers.co.kr/learn/courses/30/lessons/92343
혼자 놀기의 달인,2,38.0,5951,https://school.programmers.co.kr/learn/courses/30/lessons/131130
조이스틱,2,37.0,20007,https://school.programmers.co.kr/learn/courses/30/lessons/42860
양궁대회,2,37.0,8856,https://school.programmers.co.kr/learn/courses/30/lessons/92342
옹알이 (1),0,37.0,25466,https://school.programmers.co.kr/learn/courses/30/lessons/120956
